,date,low,high,open,close,volume
832,2020-02-04 17:00:00,188.01,188.86,188.75,188.66,3234.95807104
833,2020-02-04 18:00:00,187.4,189.44,188.59,188.14,6514.53037417
834,2020-02-04 19:00:00,187.19,188.2,188.19,187.26,3236.95760589
835,2020-02-04 20:00:00,185.37,187.7,187.25,187.66,9867.44138214
836,2020-02-04 21:00:00,187.21,187.99,187.71,187.44,1463.20600406
837,2020-02-04 22:00:00,187.05,188.71,187.43,188.7,1721.98012041
838,2020-02-04 23:00:00,187.65,188.88,188.7,188.24,1006.4476941
839,2020-02-05 00:00:00,188.16,189.96,188.25,189.12,3140.5685528
840,2020-02-05 01:00:00,187.76,189.89,189.13,188.0,3524.2303362
841,2020-02-05 02:00:00,187.68,188.82,187.94,188.81,1173.26051481
842,2020-02-05 03:00:00,186.89,189.26,188.81,189.19,3930.99590745
843,2020-02-05 04:00:00,188.54,189.7,189.18,189.66,2474.18272279
844,2020-02-05 05:00:00,189.24,190.85,189.67,190.69,3951.02018971
845,2020-02-05 06:00:00,190.29,191.5,190.69,190.51,2076.67399646
846,2020-02-05 07:00:00,190.01,191.43,190.58,190.36,1229.6872302
847,2020-02-05 08:00:00,189.87,191.06,190.35,190.87,1028.86487555
848,2020-02-05 09:00:00,190.53,191.44,190.88,190.78,1188.58105762
849,2020-02-05 10:00:00,190.65,195.79,190.81,194.82,10694.36822571
850,2020-02-05 11:00:00,193.98,197.65,194.81,197.22,7517.22608837
851,2020-02-05 12:00:00,195.39,198.29,197.32,195.97,6360.84035892
852,2020-02-05 13:00:00,196.0,198.11,196.01,197.39,6486.35066043
853,2020-02-05 14:00:00,196.08,198.11,197.39,197.39,6060.33088712
854,2020-02-05 15:00:00,196.85,199.1,197.38,198.66,5481.39247411
855,2020-02-05 16:00:00,198.32,200.69,198.66,199.98,11767.26438752
856,2020-02-05 17:00:00,199.45,201.45,199.99,201.16,6611.25400037
857,2020-02-05 18:00:00,201.11,205.3,201.16,203.95,20745.64450019
858,2020-02-05 19:00:00,201.51,204.83,203.95,202.33,7799.04209205
